read_code	icd10_code
A708.	B190
A709.	B199
A70A.	B182
A70B.	B182
A70C.	B182
A70D.	B182
A70E.	B182
A70F.	B182
A70G.	B171
A70z.	B199
A70z0	B182
A70z1	B179
A71..	A820-A829
A710.	A820
A711.	A821
A72..	B269
A720.	B260D N511A
A721.	B261D G020A
A722.	B262D G051A
A723.	B263D K871A
A724.	B269
A72x.	B268
A72x0	B268D K770A
A72x1	B268D G630A
A72xz	B268
A72y.	B268
A72z.	B269
A73..	A70X
A730.	A70XD
A73x.	A70X
A73y.	A70X
A73z.	A70X
A74..	B971
A740.	B085
A741.	B330
A742.	B332D I521A
A7420	B332D I521A
A7421	B332D I321A
A7422	B332D I398A
A7423	B332D I411A
A742z	B332D I521A
A743.	B084
A74y.	B338
A74z.	B341
A75..	B279
A750.	B270
A751.	B271
A752.	B270
A76..	A710-A719
A760.	A710
A761.	A711
A76z.	A719
A770.	A740D H131A
A771.	B300D H192A
A772.	B302D H131A
A773.	B301D H131A
A774.	B303D H131A
A776.	B300D H192A
A777.	B301D H131A
A77X.	B309
A77y.	B308D H131A
A77z.	B309
A780.	B081
A7800	B081D H031A
A781.	B07X
A7810	B07X
A7811	B07X
A7812	A630
A7813	A630
A7814	B07X
A7815	B07X
A7816	B07X
A7817	A630
A781z	B07X
A782.	B348
A783.	A281
A784.	B088
A785.	B259
A7850	B250D
A7851	B252D
A7852	B251D
A785X	B259
A786.	A985D
A787.	A969
A7870	A960
A7871	A961
A788.	B24X
A7880	B230
A7881	Z21X
A7882	B231
A7883	B238
A7884	B220
A7885	B209
A7886	B218
A788U	B232
A788V	B227
A788W	B219
A788X	B209
A788y	B238
A788z	B24X
A7890	B200
A7891	B202
A7892	B204
A7893	B206
A7894	B207
A7895	B210
A7896	B211
A7897	B212
A7898	B217
A7899	B221
A789A	B222
A789X	B213
A78A0	A560
A78A1	A564
A78A2	A563
A78A3	A561
A78A4	A740D H131A
A78A5	A562
A78AW	A749
A78AX	A562D N291A
A78B.	B334D J171A
A78X.	A99X
A78y0	A881D H82XA
A78y1	A081
A78y2	B330
A78y3	A983
A78y4	B088
A78y5	A962
A79..	B338
A790.	B340
A791.	B341
A792.	B341
A793.	B348
A794.	A984
A795.	B342
A796.	B343
A797.	B344
A798.	B333
A799.	B259
A79A.	B974
A79B.	B344
A79C.	B348
A79X.	B341
A79y.	B338
A79z.	B349
A7A..	B332D
A7y0.	B978
A7y00	B972
A7y01	B973
A7y02	B974
A7y03	B975
A7y04	B976
A7y05	B977
A7y0X	B970
A80..	A750
A81..	A759
A810.	A752
A811.	A751
A812.	A753
A81z.	A759
A82..	A770-A779
A820.	A770-A779
A8200	A770
A8201	A770
A820z	A779
A821.	A771
A8210	A771
A8211	A771
A8212	A771
A8213	A771
A8214	A771
A821z	A771
A822.	A772
A8220	A772
A822z	A772
A823.	A773
A82y.	A778
A82z.	A779
A83..	A790-A799
A830.	A78X
